w Aex Asm
1.327079e+01 9.710057e-04 9.720862e-04
1.331113e+01 9.543176e-04 9.553726e-04
1.335146e+01 9.380768e-04 9.391079e-04
1.339180e+01 9.222667e-04 9.232755e-04
1.343213e+01 9.068714e-04 9.078598e-04
1.347246e+01 8.918760e-04 8.928455e-04
1.351280e+01 8.772660e-04 8.782186e-04
1.355313e+01 8.630278e-04 8.639654e-04
1.359347e+01 8.491483e-04 8.500729e-04
1.363380e+01 8.356151e-04 8.365291e-04
1.367414e+01 8.224162e-04 8.233222e-04
1.371447e+01 8.095404e-04 8.104412e-04
1.375481e+01 7.969766e-04 7.978758e-04
1.379514e+01 7.847146e-04 7.856163e-04
1.383548e+01 7.727443e-04 7.736539e-04
1.387581e+01 7.610562e-04 7.619805e-04
1.391615e+01 7.496412e-04 7.505891e-04
1.395648e+01 7.384905e-04 7.394740e-04
1.399681e+01 7.275958e-04 7.286306e-04
1.403715e+01 7.169489e-04 7.180544e-04
1.407748e+01 7.065421e-04 7.077371e-04
1.411782e+01 6.963680e-04 6.976581e-04
1.415815e+01 6.864194e-04 6.877803e-04
1.419849e+01 6.766896e-04 6.780751e-04
1.423882e+01 6.671720e-04 6.685534e-04
1.427916e+01 6.578602e-04 6.592473e-04
1.431949e+01 6.487482e-04 6.501781e-04
1.435983e+01 6.398301e-04 6.413541e-04
1.440016e+01 6.311002e-04 6.327805e-04
1.444049e+01 6.225532e-04 6.244671e-04
1.448083e+01 6.141838e-04 6.164275e-04
1.452116e+01 6.059871e-04 6.086638e-04
1.456150e+01 5.979580e-04 6.011325e-04
1.460183e+01 5.900921e-04 5.937236e-04
1.464217e+01 5.823846e-04 5.863348e-04
1.468250e+01 5.748314e-04 5.789642e-04
1.472284e+01 5.674282e-04 5.716208e-04
1.476317e+01 5.601710e-04 5.642361e-04
1.480351e+01 5.530559e-04 5.567675e-04
1.484384e+01 5.460790e-04 5.493151e-04
1.488418e+01 5.392367e-04 5.420274e-04
1.492451e+01 5.325255e-04 5.349732e-04
1.496484e+01 5.259417e-04 5.281465e-04
1.500518e+01 5.194822e-04 5.215115e-04
1.504551e+01 5.131438e-04 5.150333e-04
1.508585e+01 5.069234e-04 5.087053e-04
1.512618e+01 5.008182e-04 5.025408e-04
1.516652e+01 4.948252e-04 4.965398e-04
1.520685e+01 4.889417e-04 4.906778e-04
1.524719e+01 4.831648e-04 4.849297e-04
1.528752e+01 4.774921e-04 4.792960e-04
1.532786e+01 4.719209e-04 4.737745e-04
1.536819e+01 4.664488e-04 4.683182e-04
1.540853e+01 4.610734e-04 4.628732e-04
1.544886e+01 4.557924e-04 4.574567e-04
1.548919e+01 4.506035e-04 4.521341e-04
1.552953e+01 4.455047e-04 4.469456e-04
1.556986e+01 4.404938e-04 4.418869e-04
1.561020e+01 4.355686e-04 4.369255e-04
1.565053e+01 4.307272e-04 4.320346e-04
1.569087e+01 4.259676e-04 4.272204e-04
1.573120e+01 4.212879e-04 4.225085e-04
1.577154e+01 4.166863e-04 4.179157e-04
1.581187e+01 4.121612e-04 4.134450e-04
1.585221e+01 4.077106e-04 4.090925e-04
1.589254e+01 4.033331e-04 4.048570e-04
1.593287e+01 3.990270e-04 4.007375e-04
1.597321e+01 3.947908e-04 3.967158e-04
1.601354e+01 3.906229e-04 3.927447e-04
1.605388e+01 3.865219e-04 3.887630e-04
1.609421e+01 3.824863e-04 3.847373e-04
1.613455e+01 3.785146e-04 3.806941e-04
1.617488e+01 3.746055e-04 3.766821e-04
1.621522e+01 3.707576e-04 3.727275e-04
1.625555e+01 3.669698e-04 3.688403e-04
1.629589e+01 3.632407e-04 3.650315e-04
1.633622e+01 3.595692e-04 3.613013e-04
1.637656e+01 3.559540e-04 3.576263e-04
1.641689e+01 3.523940e-04 3.539823e-04
1.645722e+01 3.488880e-04 3.503728e-04
1.649756e+01 3.454349e-04 3.468132e-04
1.653789e+01 3.420335e-04 3.433131e-04
1.657823e+01 3.386826e-04 3.398820e-04
1.661856e+01 3.353815e-04 3.365348e-04
1.665890e+01 3.321290e-04 3.332832e-04
1.669923e+01 3.289244e-04 3.301269e-04
1.673957e+01 3.257667e-04 3.270480e-04
1.677990e+01 3.226550e-04 3.240078e-04
1.682024e+01 3.195882e-04 3.209637e-04
1.686057e+01 3.165657e-04 3.179074e-04
1.690091e+01 3.135865e-04 3.148698e-04
1.694124e+01 3.106497e-04 3.118774e-04
1.698157e+01 3.077545e-04 3.089345e-04
1.702191e+01 3.049002e-04 3.060420e-04
1.706224e+01 3.020858e-04 3.032030e-04
1.710258e+01 2.993108e-04 3.004185e-04
1.714291e+01 2.965744e-04 2.976847e-04
1.718325e+01 2.938758e-04 2.949932e-04
1.722358e+01 2.912144e-04 2.923317e-04
1.726392e+01 2.885894e-04 2.896947e-04
