w Aex Ahw
11.3720 0.00058 0.00058
11.4032 0.00057 0.00057
11.4344 0.00056 0.00056
11.4657 0.00055 0.00055
11.4969 0.00055 0.00055
11.5281 0.00054 0.00054
11.5594 0.00053 0.00053
11.5906 0.00052 0.00052
11.6219 0.00052 0.00052
11.6531 0.00051 0.00051
11.6843 0.00051 0.00051
11.7156 0.00050 0.00050
11.7468 0.00050 0.00050
11.7780 0.00049 0.00049
11.8093 0.00048 0.00048
11.8405 0.00048 0.00048
11.8717 0.00047 0.00047
11.9030 0.00047 0.00047
11.9342 0.00046 0.00046
11.9654 0.00046 0.00046
11.9967 0.00045 0.00045
12.0279 0.00045 0.00045
12.0591 0.00044 0.00044
12.0904 0.00044 0.00044
12.1216 0.00043 0.00043
12.1529 0.00042 0.00042
12.1841 0.00042 0.00042
12.2153 0.00041 0.00041
12.2466 0.00041 0.00041
12.2778 0.00040 0.00040
12.3090 0.00040 0.00040
12.3403 0.00040 0.00040
12.3715 0.00039 0.00039
12.4027 0.00039 0.00039
12.4340 0.00038 0.00038
12.4652 0.00038 0.00038
12.4964 0.00038 0.00038
12.5277 0.00037 0.00037
12.5589 0.00037 0.00037
12.5901 0.00037 0.00037
12.6214 0.00036 0.00036
12.6526 0.00036 0.00036
12.6839 0.00036 0.00036
12.7151 0.00036 0.00036
12.7463 0.00035 0.00035
12.7776 0.00035 0.00035
12.8088 0.00035 0.00035
12.8400 0.00034 0.00034
12.8713 0.00034 0.00034
12.9025 0.00034 0.00034
12.9337 0.00034 0.00034
12.9650 0.00033 0.00033
12.9962 0.00033 0.00033
13.0274 0.00033 0.00033
13.0587 0.00033 0.00033
13.0899 0.00032 0.00032
13.1211 0.00032 0.00032
13.1524 0.00032 0.00032
13.1836 0.00032 0.00032
13.2148 0.00031 0.00031
13.2461 0.00031 0.00031
13.2773 0.00031 0.00031
13.3086 0.00031 0.00031
13.3398 0.00030 0.00030
13.3710 0.00030 0.00030
13.4023 0.00030 0.00030
13.4335 0.00030 0.00030
13.4647 0.00029 0.00029
13.4960 0.00029 0.00029
13.5272 0.00029 0.00029
13.5584 0.00029 0.00029
13.5897 0.00029 0.00029
13.6209 0.00028 0.00028
13.6521 0.00028 0.00028
13.6834 0.00028 0.00028
13.7146 0.00028 0.00028
13.7458 0.00028 0.00028
13.7771 0.00027 0.00027
13.8083 0.00027 0.00027
13.8396 0.00027 0.00027
13.8708 0.00027 0.00027
13.9020 0.00027 0.00027
13.9333 0.00026 0.00026
13.9645 0.00026 0.00026
13.9957 0.00026 0.00026
14.0270 0.00026 0.00026
14.0582 0.00026 0.00026
14.0894 0.00026 0.00026
14.1207 0.00025 0.00025
14.1519 0.00025 0.00025
14.1831 0.00025 0.00025
14.2144 0.00025 0.00025
14.2456 0.00025 0.00025
14.2768 0.00025 0.00025
14.3081 0.00024 0.00024
14.3393 0.00024 0.00024
14.3706 0.00024 0.00024
14.4018 0.00024 0.00024
