w A0 A1 A2 A3 A4 A5 A6 A7
-0.0414 0.04058 1.10739 2.19594 3.32284 4.44869 5.41917 6.38784 7.41414
-0.0398 0.04101 1.10811 2.19749 3.32648 4.45487 5.42323 6.38962 7.41529
-0.0382 0.04145 1.10885 2.19908 3.33023 4.46125 5.42742 6.39144 7.41646
-0.0366 0.04189 1.10960 2.20070 3.33409 4.46783 5.43174 6.39332 7.41767
-0.0350 0.04234 1.11036 2.20236 3.33807 4.47463 5.43621 6.39525 7.41892
-0.0334 0.04280 1.11114 2.20405 3.34216 4.48164 5.44081 6.39724 7.42019
-0.0318 0.04327 1.11193 2.20579 3.34638 4.48887 5.44556 6.39929 7.42150
-0.0302 0.04374 1.11274 2.20758 3.35073 4.49633 5.45046 6.40139 7.42284
-0.0286 0.04422 1.11357 2.20940 3.35520 4.50404 5.45552 6.40356 7.42422
-0.0270 0.04471 1.11441 2.21127 3.35982 4.51198 5.46074 6.40579 7.42564
-0.0254 0.04521 1.11526 2.21319 3.36457 4.52017 5.46612 6.40810 7.42710
-0.0238 0.04572 1.11614 2.21515 3.36948 4.52862 5.47168 6.41047 7.42859
-0.0222 0.04623 1.11703 2.21717 3.37453 4.53734 5.47741 6.41291 7.43013
-0.0206 0.04675 1.11793 2.21923 3.37974 4.54632 5.48332 6.41542 7.43171
-0.0190 0.04728 1.11886 2.22135 3.38512 4.55557 5.48942 6.41802 7.43334
-0.0174 0.04782 1.11980 2.22352 3.39066 4.56510 5.49571 6.42069 7.43501
-0.0158 0.04837 1.12077 2.22575 3.39638 4.57492 5.50220 6.42345 7.43672
-0.0142 0.04893 1.12175 2.22803 3.40227 4.58502 5.50888 6.42629 7.43849
-0.0126 0.04950 1.12275 2.23037 3.40836 4.59541 5.51576 6.42922 7.44031
-0.0110 0.05008 1.12378 2.23278 3.41464 4.60610 5.52286 6.43224 7.44218
-0.0094 0.05067 1.12482 2.23525 3.42111 4.61708 5.53016 6.43535 7.44410
-0.0078 0.05126 1.12589 2.23778 3.42780 4.62835 5.53767 6.43857 7.44608
-0.0062 0.05187 1.12698 2.24039 3.43470 4.63992 5.54540 6.44188 7.44812
-0.0046 0.05249 1.12809 2.24306 3.44182 4.65177 5.55335 6.44530 7.45022
-0.0030 0.05312 1.12923 2.24580 3.44916 4.66391 5.56152 6.44883 7.45238
-0.0014 0.05376 1.13039 2.24862 3.45675 4.67633 5.56990 6.45247 7.45461
0.0002 0.05442 1.13157 2.25152 3.46457 4.68903 5.57850 6.45623 7.45691
0.0018 0.05508 1.13278 2.25450 3.47264 4.70198 5.58731 6.46010 7.45927
0.0034 0.05576 1.13402 2.25756 3.48097 4.71518 5.59634 6.46410 7.46170
0.0050 0.05645 1.13528 2.26071 3.48957 4.72861 5.60557 6.46823 7.46421
0.0066 0.05715 1.13657 2.26394 3.49844 4.74225 5.61501 6.47249 7.46680
0.0082 0.05787 1.13789 2.26727 3.50758 4.75608 5.62463 6.47688 7.46947
0.0098 0.05859 1.13924 2.27069 3.51702 4.77008 5.63444 6.48141 7.47222
0.0114 0.05933 1.14062 2.27421 3.52674 4.78421 5.64442 6.48608 7.47505
0.0130 0.06009 1.14203 2.27783 3.53677 4.79844 5.65456 6.49090 7.47797
0.0146 0.06086 1.14347 2.28156 3.54710 4.81273 5.66484 6.49587 7.48099
0.0162 0.06164 1.14495 2.28540 3.55775 4.82704 5.67523 6.50100 7.48410
0.0178 0.06244 1.14646 2.28934 3.56871 4.84133 5.68573 6.50628 7.48731
0.0194 0.06326 1.14800 2.29341 3.57999 4.85554 5.69629 6.51172 7.49061
0.0210 0.06409 1.14958 2.29760 3.59160 4.86963 5.70691 6.51733 7.49403
0.0226 0.06493 1.15120 2.30191 3.60354 4.88352 5.71753 6.52310 7.49755
0.0242 0.06580 1.15286 2.30635 3.61581 4.89717 5.72814 6.52904 7.50119
0.0258 0.06667 1.15455 2.31093 3.62841 4.91050 5.73869 6.53516 7.50494
0.0274 0.06757 1.15629 2.31565 3.64133 4.92345 5.74914 6.54144 7.50880
0.0290 0.06849 1.15807 2.32051 3.65459 4.93594 5.75945 6.54790 7.51280
0.0306 0.06942 1.15989 2.32552 3.66817 4.94790 5.76957 6.55453 7.51692
0.0322 0.07037 1.16175 2.33068 3.68206 4.95927 5.77946 6.56134 7.52117
0.0338 0.07134 1.16366 2.33601 3.69626 4.96996 5.78906 6.56832 7.52555
0.0354 0.07233 1.16562 2.34150 3.71076 4.97991 5.79833 6.57547 7.53007
0.0370 0.07334 1.16763 2.34716 3.72554 4.98904 5.80720 6.58278 7.53474
0.0386 0.07437 1.16969 2.35300 3.74058 4.99730 5.81562 6.59026 7.53955
0.0402 0.07542 1.17180 2.35902 3.75587 5.00461 5.82355 6.59790 7.54451
0.0418 0.07650 1.17396 2.36524 3.77137 5.01091 5.83092 6.60568 7.54962
0.0434 0.07760 1.17618 2.37165 3.78707 5.01617 5.83769 6.61361 7.55489
0.0450 0.07872 1.17845 2.37827 3.80292 5.02034 5.84380 6.62166 7.56032
0.0466 0.07986 1.18079 2.38509 3.81890 5.02338 5.84922 6.62983 7.56591
0.0482 0.08103 1.18318 2.39214 3.83496 5.02526 5.85389 6.63811 7.57166
0.0498 0.08222 1.18564 2.39941 3.85105 5.02598 5.85779 6.64647 7.57758
