x y
0.35 0.648685
0.75 0.361957
0.1 1
0.35 1
0.1 0.365427
0.35 0.125832
0.75 0.0313615
0.1 0.781323
0.35 0.46637
0.75 0.151787
0.1 0.998999
0.35 0.962614
0.75 0.607936
0.1 0.847596
0.35 0.486674
0.75 0.169595
0.1 0.500533
0.35 0.276128
0.75 0.123465
0.1 0.82489
0.35 0.463269
0.75 0.125674
0.1 0.581188
0.35 0.297221
0.75 0.0894738
0.1 0.870758
0.35 0.503937
0.75 0.257215
0.1 0.998951
0.35 0.948701
0.75 0.531163
0.1 0.822834
0.35 0.547877
0.75 0.211319
0.1 0.552337
0.35 0.208964
0.75 0.0601552
0.1 0.799579
0.35 0.452137
0.75 0.147454
0.5 0.162261
0.5 0.236558
0.7 0.0484697
0.7 0.0624632
0.85 0.00411663
0.85 0.0122792
0.95 0.00103122
0.95 0.00103238
0.5 0.326829
0.5 0.401632
0.7 0.0531422
0.7 0.0721859
0.85 0.0198864
0.85 0.0271152
0.95 0.00292781
0.95 0.00354058
0.5 0.401632
0.5 0.326829
0.7 0.0721859
0.7 0.0529371
0.85 0.0271152
0.85 0.0198864
0.95 0.00354058
0.95 0.00292781
0.5 0.235067
0.5 0.162573
0.7 0.0624632
0.7 0.0472681
0.85 0.0122787
0.85 0.00412204
0.95 0.00103275
0.95 0.00103138
0.5 0.401632
0.5 0.326829
0.7 0.072209
0.7 0.0530424
0.85 0.0271152
0.85 0.0198864
0.95 0.00354058
0.95 0.00292781
0.5 0.326829
0.5 0.401632
0.7 0.0530401
0.7 0.0721956
0.85 0.0198921
0.85 0.0271152
0.95 0.00292807
0.95 0.00354058
0.5 0.0518089
0.5 0.0496496
0.7 0.00980537
0.7 0.00631173
0.85 0.00186206
0.85 0.00110579
0.95 0.000217148
0.95 0.000153619
0.5 0.0725248
0.5 0.0619762
0.7 0.0134445
0.7 0.00855876
0.85 0.00286545
0.85 0.00154769
0.95 0.000529359
0.95 0.000354725
0.5 0.0852586
0.5 0.0852586
0.7 0.0123256
0.7 0.0123256
0.85 0.00237587
0.85 0.00237587
0.95 0.000425414
0.95 0.00042542
0.5 0.0619762
0.5 0.0725248
0.7 0.00855876
0.7 0.0134445
0.85 0.00154769
0.85 0.00286545
0.95 0.000354725
0.95 0.000529359
0.5 0.0496496
0.5 0.0518089
0.7 0.0063117
0.7 0.00980543
0.85 0.00110575
0.85 0.00186207
0.95 0.000153626
0.95 0.000217148
0.5 0.0619762
0.5 0.0725248
0.7 0.00855876
0.7 0.0134445
0.85 0.00154769
0.85 0.00286544
0.95 0.000354725
0.95 0.000529359
0.5 0.0852586
0.5 0.0852586
0.7 0.0123256
0.7 0.0123256
0.85 0.00237587
0.85 0.00237587
0.95 0.000425416
0.95 0.000425415
0.5 0.0725248
0.5 0.0619762
0.7 0.0134445
0.7 0.00855876
0.85 0.00286545
0.85 0.00154769
0.95 0.000529359
0.95 0.000354726
0.25 0.273744
0.343333 0.310746
0.453333 0.288254
0.54 0.238444
0.603333 0.207708
0.67 0.0720296
0.713333 0.0517747
0.75 0.0344845
0.773333 0.0205537
0.8 0.0102887
0.81 0.008037
0.81 0.008037
0.816667 0.00621653
0.253333 0.322521
0.323333 0.259904
0.433333 0.26134
0.513333 0.288706
0.58 0.226567
0.643333 0.0985459
0.693333 0.0421255
0.733333 0.0283517
0.77 0.0162181
0.776667 0.0155102
0.786667 0.0107415
0.8 0.00862044
0.803333 0.00768005
0.25 0.280462
0.326667 0.274007
0.433333 0.254736
0.536667 0.299522
0.596667 0.241414
0.676667 0.0641441
0.716667 0.0359014
0.75 0.0241406
0.776667 0.0162475
0.793333 0.0141162
0.796667 0.0135973
0.81 0.0122846
0.813333 0.0109478
0.253333 0.275473
0.356667 0.271419
0.436667 0.285916
0.516667 0.249304
0.586667 0.216849
0.67 0.0635939
0.713333 0.0399062
0.74 0.0293636
0.76 0.021644
0.783333 0.0163673
0.79 0.0149897
0.796667 0.014207
0.8 0.0137641
0.23 0.285819
0.33 0.259621
0.436667 0.283875
0.513333 0.254446
0.583333 0.1947
0.65 0.0758288
0.7 0.0496124
0.74 0.033871
0.766667 0.0157137
0.783333 0.0119831
0.783333 0.0119831
0.79 0.0118458
0.79 0.0118458
0.263333 0.289954
0.376667 0.236211
0.466667 0.266779
0.52 0.281867
0.61 0.178444
0.663333 0.0920246
0.706667 0.0556274
0.75 0.023155
0.786667 0.0133532
0.79 0.0113851
0.8 0.00957295
0.81 0.00786914
0.816667 0.0060624
0.276667 0.264039
0.363333 0.319293
0.45 0.251158
0.53 0.24988
0.613333 0.204212
0.67 0.0776336
0.713333 0.0509435
0.746667 0.0213253
0.766667 0.0155344
0.783333 0.0118227
0.79 0.0106628
0.796667 0.0102094
0.81 0.00767367
0.233333 0.312483
0.353333 0.300725
0.463333 0.241546
0.543333 0.286263
0.603333 0.235875
0.676667 0.0722489
0.706667 0.0446993
0.726667 0.0380981
0.763333 0.0173074
0.78 0.0130331
0.79 0.0116196
0.793333 0.0114997
0.816667 0.00839655
0.5 0.0110559
0.7 0.00118753
0.85 0.000207441
0.95 1.18325e-05
